ab	atc	name	group
AMA	J04AA01	4-aminosalicylic acid	Antimycobacterials
FCT	D01AE21	5-fluorocytosine	Antifungals/antimycotics
ACM		Acetylmidecamycin	Macrolides/lincosamides
ASP		Acetylspiramycin	Macrolides/lincosamides
ALS	J04BA03	Aldesulfone sodium	Other antibacterials
AMK	J01GB06	Amikacin	Aminoglycosides
AKF		Amikacin/fosfomycin	Aminoglycosides
AMX	J01CA04	Amoxicillin	Beta-lactams/penicillins
AMC	J01CR02	Amoxicillin/clavulanic acid	Beta-lactams/penicillins
AXS		Amoxicillin/sulbactam	Beta-lactams/penicillins
AMB	J02AA01	Amphotericin B	Antifungals/antimycotics
AMH		Amphotericin B-high	Aminoglycosides
AMP	J01CA01	Ampicillin	Beta-lactams/penicillins
SAM	J01CR01	Ampicillin/sulbactam	Beta-lactams/penicillins
AMR		Amprolium	Other antibacterials
ANI	J02AX06	Anidulafungin	Antifungals/antimycotics
APL		Apalcillin	Beta-lactams/penicillins
APR		Apramycin	Aminoglycosides
ARB		Arbekacin	Aminoglycosides
APX		Aspoxicillin	Beta-lactams/penicillins
AST		Astromicin	Aminoglycosides
AVB		Avibactam	Beta-lactams/penicillins
AVI		Avilamycin	Other antibacterials
AVO		Avoparcin	Glycopeptides
AZD	J01CE04	Azidocillin	Beta-lactams/penicillins
AZM	J01FA10	Azithromycin	Macrolides/lincosamides
AZL	J01CA09	Azlocillin	Beta-lactams/penicillins
ATM	J01DF01	Aztreonam	Beta-lactams/penicillins
AZA		Aztreonam/avibactam	Beta-lactams/penicillins
BAM	J01CA06	Bacampicillin	Beta-lactams/penicillins
BAC	R02AB04	Bacitracin zinc	Other antibacterials
BDQ		Bedaquiline	Other antibacterials
BEK		Bekanamycin	Aminoglycosides
BNB	J01CE08	Benzathine benzylpenicillin	Beta-lactams/penicillins
BNP	J01CE10	Benzathine phenoxymethylpenicillin	Beta-lactams/penicillins
BES		Besifloxacin	Quinolones
BIA		Biapenem	Carbapenems
BCZ		Bicyclomycin (Bicozamycin)	Other antibacterials
BDP	J01EA02	Brodimoprim	Trimethoprims
BUT		Butoconazole	Antifungals/antimycotics
CDZ	J01DD09	Cadazolid	Cephalosporins (3rd gen.)
CLA	J04AA03	Calcium aminosalicylate	Antimycobacterials
CAP	J04AB30	Capreomycin	Antimycobacterials
CRB	J01CA03	Carbenicillin	Beta-lactams/penicillins
CRN	J01CA05	Carindacillin	Beta-lactams/penicillins
CAR		Carumonam	Other antibacterials
CAS	J02AX04	Caspofungin	Antifungals/antimycotics
CAC	J01DB10	Cefacetrile	Cephalosporins (1st gen.)
CEC	J01DC04	Cefaclor	Cephalosporins (2nd gen.)
CFR	J01DB05	Cefadroxil	Cephalosporins (1st gen.)
RID	J01DB02	Cefaloridine	Cephalosporins (1st gen.)
MAN	J01DC03	Cefamandole	Cephalosporins (2nd gen.)
CTZ	J01DB07	Cefatrizine	Cephalosporins (1st gen.)
CZD	J01DB06	Cefazedone	Cephalosporins (1st gen.)
CZO	J01DB04	Cefazolin	Cephalosporins (1st gen.)
CFB		Cefbuperazone	Other antibacterials
CCP		Cefcapene	Cephalosporins (3rd gen.)
CCX		Cefcapene pivoxil	Cephalosporins (3rd gen.)
CDR	J01DD15	Cefdinir	Cephalosporins (3rd gen.)
DIT	J01DD16	Cefditoren	Cephalosporins (3rd gen.)
DIX		Cefditoren pivoxil	Cephalosporins (3rd gen.)
FEP	J01DE01	Cefepime	Cephalosporins (4th gen.)
CPC		Cefepime/clavulanic acid	Cephalosporins (4th gen.)
FPT		Cefepime/tazobactam	Cephalosporins (4th gen.)
FPZ		Cefepime/zidebactam	Other antibacterials
CAT	J01DD10	Cefetamet	Cephalosporins (3rd gen.)
CPI		Cefetamet pivoxil	Cephalosporins (3rd gen.)
CCL		Cefetecol (Cefcatacol)	Cephalosporins (4th gen.)
CZL		Cefetrizole	Cephalosporins (unclassified gen.)
FDC		Cefiderocol	Other antibacterials
CFM	J01DD08	Cefixime	Cephalosporins (3rd gen.)
CMX	J01DD05	Cefmenoxime	Cephalosporins (3rd gen.)
CMZ	J01DC09	Cefmetazole	Cephalosporins (2nd gen.)
CNX		Cefminox	Other antibacterials
DIZ	J01DD09	Cefodizime	Cephalosporins (3rd gen.)
CID	J01DC06	Cefonicid	Cephalosporins (2nd gen.)
CFP	J01DD12	Cefoperazone	Cephalosporins (3rd gen.)
CSL	J01DD62	Cefoperazone/sulbactam	Cephalosporins (3rd gen.)
CND	J01DC11	Ceforanide	Cephalosporins (2nd gen.)
CSE		Cefoselis	Cephalosporins (4th gen.)
CTX	J01DD01	Cefotaxime	Cephalosporins (3rd gen.)
CTC		Cefotaxime/clavulanic acid	Cephalosporins (3rd gen.)
CTS		Cefotaxime/sulbactam	Cephalosporins (3rd gen.)
CTT	J01DC05	Cefotetan	Cephalosporins (2nd gen.)
CTF	J01DC07	Cefotiam	Cephalosporins (2nd gen.)
CHE		Cefotiam hexetil	Cephalosporins (3rd gen.)
FOV		Cefovecin	Cephalosporins (3rd gen.)
FOX	J01DC01	Cefoxitin	Cephalosporins (2nd gen.)
ZOP		Cefozopran	Cephalosporins (4th gen.)
CFZ		Cefpimizole	Cephalosporins (3rd gen.)
CPM	J01DD11	Cefpiramide	Cephalosporins (3rd gen.)
CPO	J01DE02	Cefpirome	Cephalosporins (4th gen.)
CPD	J01DD13	Cefpodoxime	Cephalosporins (3rd gen.)
CPX		Cefpodoxime proxetil	Cephalosporins (3rd gen.)
CDC		Cefpodoxime/clavulanic acid	Cephalosporins (3rd gen.)
CPR	J01DC10	Cefprozil	Cephalosporins (2nd gen.)
CEQ		Cefquinome	Cephalosporins (4th gen.)
CRD	J01DB11	Cefroxadine	Cephalosporins (1st gen.)
CFS	J01DD03	Cefsulodin	Cephalosporins (3rd gen.)
CSU		Cefsumide	Cephalosporins (unclassified gen.)
CPT	J01DI02	Ceftaroline	Cephalosporins (5th gen.)
CPA		Ceftaroline/avibactam	Cephalosporins (5th gen.)
CAZ	J01DD02	Ceftazidime	Cephalosporins (3rd gen.)
CZA		Ceftazidime/avibactam	Cephalosporins (3rd gen.)
CCV	J01DD52	Ceftazidime/clavulanic acid	Cephalosporins (3rd gen.)
CEM		Cefteram	Cephalosporins (3rd gen.)
CPL		Cefteram pivoxil	Cephalosporins (3rd gen.)
CTL	J01DB12	Ceftezole	Cephalosporins (1st gen.)
CTB	J01DD14	Ceftibuten	Cephalosporins (3rd gen.)
TIO		Ceftiofur	Cephalosporins (3rd gen.)
CZX	J01DD07	Ceftizoxime	Cephalosporins (3rd gen.)
CZP		Ceftizoxime alapivoxil	Cephalosporins (3rd gen.)
BPR	J01DI01	Ceftobiprole	Cephalosporins (5th gen.)
CFM1	J01DI01	Ceftobiprole medocaril	Cephalosporins (5th gen.)
CEI	J01DI54	Ceftolozane/enzyme inhibitor	Cephalosporins (5th gen.)
CZT		Ceftolozane/tazobactam	Cephalosporins (5th gen.)
CRO	J01DD04	Ceftriaxone	Cephalosporins (3rd gen.)
CXM	J01DC02	Cefuroxime	Cephalosporins (2nd gen.)
CXA		Cefuroxime axetil	Cephalosporins (2nd gen.)
CFM2	J01RA03	Cefuroxime/metronidazole	Other antibacterials
ZON		Cefuzonam	Other antibacterials
LEX	J01DB01	Cephalexin	Cephalosporins (1st gen.)
CEP	J01DB03	Cephalothin	Cephalosporins (1st gen.)
HAP	J01DB08	Cephapirin	Cephalosporins (1st gen.)
CED	J01DB09	Cephradine	Cephalosporins (1st gen.)
