atc	name	atc_group
J05AF06	abacavir	Nucleoside and nucleotide reverse transcriptase inhibitors
J05AB01	aciclovir	Nucleosides and nucleotides excl. reverse transcriptase inhibitors
J05AF08	adefovir dipivoxil	Nucleoside and nucleotide reverse transcriptase inhibitors
J05AE05	amprenavir	Protease inhibitors
J05AP06	asunaprevir	Antivirals for treatment of HCV infections
J05AE08	atazanavir	Protease inhibitors
J05AR15	atazanavir and cobicistat	"Antivirals for treatment of HIV infections, combinations"
J05AR23	atazanavir and ritonavir	"Antivirals for treatment of HIV infections, combinations"
J05AP03	boceprevir	Antivirals for treatment of HCV infections
J05AB15	brivudine	Nucleosides and nucleotides excl. reverse transcriptase inhibitors
J05AB12	cidofovir	Nucleosides and nucleotides excl. reverse transcriptase inhibitors
J05AF12	clevudine	Nucleoside and nucleotide reverse transcriptase inhibitors
J05AP07	daclatasvir	Antivirals for treatment of HCV infections
J05AE10	darunavir	Protease inhibitors
J05AR14	darunavir and cobicistat	"Antivirals for treatment of HIV infections, combinations"
J05AP09	dasabuvir	Antivirals for treatment of HCV infections
J05AP52	"dasabuvir, ombitasvir, paritaprevir and ritonavir"	Antivirals for treatment of HCV infections
J05AG02	delavirdine	Non-nucleoside reverse transcriptase inhibitors
J05AF02	didanosine	Nucleoside and nucleotide reverse transcriptase inhibitors
J05AX12	dolutegravir	Other antivirals
J05AR21	dolutegravir and rilpivirine	"Antivirals for treatment of HIV infections, combinations"
J05AG06	doravirine	Non-nucleoside reverse transcriptase inhibitors
J05AG03	efavirenz	Non-nucleoside reverse transcriptase inhibitors
J05AP54	elbasvir and grazoprevir	Antivirals for treatment of HCV infections
J05AX11	elvitegravir	Other antivirals
J05AF09	emtricitabine	Nucleoside and nucleotide reverse transcriptase inhibitors
J05AR17	emtricitabine and tenofovir alafenamide	"Antivirals for treatment of HIV infections, combinations"
J05AR20	"emtricitabine, tenofovir alafenamide and bictegravir"	"Antivirals for treatment of HIV infections, combinations"
J05AR19	"emtricitabine, tenofovir alafenamide and rilpivirine"	"Antivirals for treatment of HIV infections, combinations"
J05AR22	"emtricitabine, tenofovir alafenamide, darunavir and cobicistat"	"Antivirals for treatment of HIV infections, combinations"
J05AR18	"emtricitabine, tenofovir alafenamide, elvitegravir and cobicistat"	"Antivirals for treatment of HIV infections, combinations"
J05AR06	"emtricitabine, tenofovir disoproxil and efavirenz"	"Antivirals for treatment of HIV infections, combinations"
J05AR08	"emtricitabine, tenofovir disoproxil and rilpivirine"	"Antivirals for treatment of HIV infections, combinations"
J05AR09	"emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat"	"Antivirals for treatment of HIV infections, combinations"
J05AX07	enfuvirtide	Other antivirals
J05AX17	enisamium iodide	Other antivirals
